Indicator,Year,Geography,FIPS,Race,Sex,Age group,Misc,Rate,Cases,Population
Chlamydia,2000,Mississippi,28,All races/ethnicities,Both sexes,All age groups,All transmission categories,445.7,"12,697","2,848,829"
Chlamydia,2000,Missouri,29,All races/ethnicities,Both sexes,All age groups,All transmission categories,239.9,"13,448","5,605,067"
Chlamydia,2000,Montana,30,All races/ethnicities,Both sexes,All age groups,All transmission categories,162.6,"1,469","903,416"
Chlamydia,2000,Nebraska,31,All races/ethnicities,Both sexes,All age groups,All transmission categories,221.3,"3,791","1,713,375"
Chlamydia,2000,Nevada,32,All races/ethnicities,Both sexes,All age groups,All transmission categories,199.1,"4,019","2,018,828"
Chlamydia,2000,New Hampshire,33,All races/ethnicities,Both sexes,All age groups,All transmission categories,91.1,"1,130","1,240,473"
Chlamydia,2000,New Jersey,34,All races/ethnicities,Both sexes,All age groups,All transmission categories,128.2,"10,814","8,433,278"
Chlamydia,2000,New Mexico,35,All races/ethnicities,Both sexes,All age groups,All transmission categories,285.7,"5,204","1,821,767"
Chlamydia,2000,New York,36,All races/ethnicities,Both sexes,All age groups,All transmission categories,165.5,"31,448","18,999,760"
Chlamydia,2000,North Carolina,37,All races/ethnicities,Both sexes,All age groups,All transmission categories,272,"21,985","8,082,261"
Chlamydia,2000,North Dakota,38,All races/ethnicities,Both sexes,All age groups,All transmission categories,141.8,909,"641,131"
Chlamydia,2000,Northern Mariana Islands,69,All races/ethnicities,Both sexes,All age groups,All transmission categories,Data not available,Data not available,null
Chlamydia,2000,Ohio,39,All races/ethnicities,Both sexes,All age groups,All transmission categories,274.5,"31,190","11,363,568"
Chlamydia,2000,Oklahoma,40,All races/ethnicities,Both sexes,All age groups,All transmission categories,270.1,"9,331","3,454,408"
Chlamydia,2000,Oregon,41,All races/ethnicities,Both sexes,All age groups,All transmission categories,207.1,"7,107","3,431,137"
Chlamydia,2000,Pennsylvania,42,All races/ethnicities,Both sexes,All age groups,All transmission categories,215.5,"26,476","12,286,107"
Chlamydia,2000,Puerto Rico,72,All races/ethnicities,Both sexes,All age groups,All transmission categories,70.7,"2,695","3,814,413"
Chlamydia,2000,Rhode Island,44,All races/ethnicities,Both sexes,All age groups,All transmission categories,250.5,"2,632","1,050,698"
Chlamydia,2000,South Carolina,45,All races/ethnicities,Both sexes,All age groups,All transmission categories,247.3,"9,950","4,023,725"
Chlamydia,2000,South Dakota,46,All races/ethnicities,Both sexes,All age groups,All transmission categories,242.7,"1,834","755,784"
Chlamydia,2000,Tennessee,47,All races/ethnicities,Both sexes,All age groups,All transmission categories,264.2,"15,068","5,703,246"
Chlamydia,2000,Texas,48,All races/ethnicities,Both sexes,All age groups,All transmission categories,328.4,"68,814","20,955,248"
Chlamydia,2000,U.S. Virgin Islands,78,All races/ethnicities,Both sexes,All age groups,All transmission categories,120.6,131,"108,639"
Chlamydia,2000,Utah,49,All races/ethnicities,Both sexes,All age groups,All transmission categories,97.6,"2,190","2,243,406"
Chlamydia,2000,Vermont,50,All races/ethnicities,Both sexes,All age groups,All transmission categories,86.2,526,"609,952"
Chlamydia,2000,Virginia,51,All races/ethnicities,Both sexes,All age groups,All transmission categories,216,"15,352","7,105,900"
Chlamydia,2000,Washington,53,All races/ethnicities,Both sexes,All age groups,All transmission categories,221,"13,066","5,911,803"
Chlamydia,2000,West Virginia,54,All races/ethnicities,Both sexes,All age groups,All transmission categories,118.6,"2,143","1,807,326"
Chlamydia,2000,Wisconsin,55,All races/ethnicities,Both sexes,All age groups,All transmission categories,304.5,"16,365","5,374,367"
Chlamydia,2000,Wyoming,56,All races/ethnicities,Both sexes,All age groups,All transmission categories,163.3,807,"494,086"
Chlamydia,2001,Alabama,1,All races/ethnicities,Both sexes,All age groups,All transmission categories,325,"14,524","4,468,912"
Chlamydia,2001,Alaska,2,All races/ethnicities,Both sexes,All age groups,All transmission categories,433.1,"2,744","633,630"
Chlamydia,2001,American Samoa,60,All races/ethnicities,Both sexes,All age groups,All transmission categories,Data not available,Data not available,null
Chlamydia,2001,Arizona,4,All races/ethnicities,Both sexes,All age groups,All transmission categories,270.5,"14,354","5,306,966"
Chlamydia,2001,Arkansas,5,All races/ethnicities,Both sexes,All age groups,All transmission categories,270.2,"7,280","2,694,698"
Chlamydia,2001,California,6,All races/ethnicities,Both sexes,All age groups,All transmission categories,294.5,"101,915","34,600,463"
Chlamydia,2001,Colorado,8,All races/ethnicities,Both sexes,All age groups,All transmission categories,298.8,"13,239","4,430,989"
Chlamydia,2001,Connecticut,9,All races/ethnicities,Both sexes,All age groups,All transmission categories,224.7,"7,718","3,434,602"
Chlamydia,2001,Delaware,10,All races/ethnicities,Both sexes,All age groups,All transmission categories,350.6,"2,793","796,599"
Chlamydia,2001,District of Columbia,11,All races/ethnicities,Both sexes,All age groups,All transmission categories,572.7,"3,286","573,822"
Chlamydia,2001,Florida,12,All races/ethnicities,Both sexes,All age groups,All transmission categories,229.8,"37,625","16,373,330"
Chlamydia,2001,Georgia,13,All races/ethnicities,Both sexes,All age groups,All transmission categories,402.6,"33,840","8,405,677"
Chlamydia,2001,Guam,66,All races/ethnicities,Both sexes,All age groups,All transmission categories,275.7,431,"156,337"
Chlamydia,2001,Hawaii,15,All races/ethnicities,Both sexes,All age groups,All transmission categories,328.5,"4,031","1,227,025"
Chlamydia,2001,Idaho,16,All races/ethnicities,Both sexes,All age groups,All transmission categories,153.2,"2,023","1,320,585"
Chlamydia,2001,Illinois,17,All races/ethnicities,Both sexes,All age groups,All transmission categories,349.2,"43,716","12,520,227"
Chlamydia,2001,Indiana,18,All races/ethnicities,Both sexes,All age groups,All transmission categories,249,"15,258","6,126,743"
Chlamydia,2001,Iowa,19,All races/ethnicities,Both sexes,All age groups,All transmission categories,194.4,"5,699","2,931,967"
Chlamydia,2001,Kansas,20,All races/ethnicities,Both sexes,All age groups,All transmission categories,223.9,"6,050","2,702,125"
Chlamydia,2001,Kentucky,21,All races/ethnicities,Both sexes,All age groups,All transmission categories,218.3,"8,881","4,068,816"
Chlamydia,2001,Louisiana,22,All races/ethnicities,Both sexes,All age groups,All transmission categories,401,"17,926","4,470,368"
Chlamydia,2001,Maine,23,All races/ethnicities,Both sexes,All age groups,All transmission categories,104.2,"1,338","1,284,475"
Chlamydia,2001,Maryland,24,All races/ethnicities,Both sexes,All age groups,All transmission categories,290.4,"15,640","5,386,079"
Chlamydia,2001,Massachusetts,25,All races/ethnicities,Both sexes,All age groups,All transmission categories,162.5,"10,402","6,401,167"
Chlamydia,2001,Michigan,26,All races/ethnicities,Both sexes,All age groups,All transmission categories,310.7,"31,090","10,006,266"
Chlamydia,2001,Minnesota,27,All races/ethnicities,Both sexes,All age groups,All transmission categories,167,"8,323","4,984,535"
Chlamydia,2001,Mississippi,28,All races/ethnicities,Both sexes,All age groups,All transmission categories,412.4,"11,793","2,859,733"
Chlamydia,2001,Missouri,29,All races/ethnicities,Both sexes,All age groups,All transmission categories,247.4,"13,949","5,637,309"
Chlamydia,2001,Montana,30,All races/ethnicities,Both sexes,All age groups,All transmission categories,209.5,"1,897","905,382"
Chlamydia,2001,Nebraska,31,All races/ethnicities,Both sexes,All age groups,All transmission categories,186.4,"3,206","1,720,039"
Chlamydia,2001,Nevada,32,All races/ethnicities,Both sexes,All age groups,All transmission categories,230.3,"4,831","2,097,722"
Chlamydia,2001,New Hampshire,33,All races/ethnicities,Both sexes,All age groups,All transmission categories,109.8,"1,383","1,259,359"
Chlamydia,2001,New Jersey,34,All races/ethnicities,Both sexes,All age groups,All transmission categories,191.7,"16,312","8,511,119"
Chlamydia,2001,New Mexico,35,All races/ethnicities,Both sexes,All age groups,All transmission categories,341.6,"6,254","1,830,935"
Chlamydia,2001,New York,36,All races/ethnicities,Both sexes,All age groups,All transmission categories,242.4,"46,265","19,084,350"
Chlamydia,2001,North Carolina,37,All races/ethnicities,Both sexes,All age groups,All transmission categories,269.3,"22,101","8,206,105"
Chlamydia,2001,North Dakota,38,All races/ethnicities,Both sexes,All age groups,All transmission categories,166.8,"1,062","636,550"
Chlamydia,2001,Northern Mariana Islands,69,All races/ethnicities,Both sexes,All age groups,All transmission categories,Data not available,Data not available,null
Chlamydia,2001,Ohio,39,All races/ethnicities,Both sexes,All age groups,All transmission categories,330.6,"37,653","11,389,786"
Chlamydia,2001,Oklahoma,40,All races/ethnicities,Both sexes,All age groups,All transmission categories,302,"10,478","3,469,577"
Chlamydia,2001,Oregon,41,All races/ethnicities,Both sexes,All age groups,All transmission categories,214.6,"7,454","3,473,441"
Chlamydia,2001,Pennsylvania,42,All races/ethnicities,Both sexes,All age groups,All transmission categories,230.2,"28,319","12,303,104"
Chlamydia,2001,Puerto Rico,72,All races/ethnicities,Both sexes,All age groups,All transmission categories,71.6,"2,748","3,837,768"
Chlamydia,2001,Rhode Island,44,All races/ethnicities,Both sexes,All age groups,All transmission categories,274.8,"2,912","1,059,659"
Chlamydia,2001,South Carolina,45,All races/ethnicities,Both sexes,All age groups,All transmission categories,377.4,"15,329","4,062,125"
Chlamydia,2001,South Dakota,46,All races/ethnicities,Both sexes,All age groups,All transmission categories,240.1,"1,821","758,324"
Chlamydia,2001,Tennessee,47,All races/ethnicities,Both sexes,All age groups,All transmission categories,270.6,"15,560","5,749,398"
Chlamydia,2001,Texas,48,All races/ethnicities,Both sexes,All age groups,All transmission categories,326.4,"69,752","21,370,983"
Chlamydia,2001,U.S. Virgin Islands,78,All races/ethnicities,Both sexes,All age groups,All transmission categories,94.1,102,"108,386"
Chlamydia,2001,Utah,49,All races/ethnicities,Both sexes,All age groups,All transmission categories,131.8,"3,004","2,278,712"
Chlamydia,2001,Vermont,50,All races/ethnicities,Both sexes,All age groups,All transmission categories,104.1,638,"612,978"
Chlamydia,2001,Virginia,51,All races/ethnicities,Both sexes,All age groups,All transmission categories,254.8,"18,337","7,196,750"
Chlamydia,2001,Washington,53,All races/ethnicities,Both sexes,All age groups,All transmission categories,227.4,"13,631","5,993,390"
Chlamydia,2001,West Virginia,54,All races/ethnicities,Both sexes,All age groups,All transmission categories,131.1,"2,361","1,800,975"
Chlamydia,2001,Wisconsin,55,All races/ethnicities,Both sexes,All age groups,All transmission categories,301.4,"16,291","5,405,947"
Chlamydia,2001,Wyoming,56,All races/ethnicities,Both sexes,All age groups,All transmission categories,169.9,839,"493,754"
Chlamydia,2002,Alabama,1,All races/ethnicities,Both sexes,All age groups,All transmission categories,348,"15,611","4,486,508"
Chlamydia,2002,Alaska,2,All races/ethnicities,Both sexes,All age groups,All transmission categories,591.2,"3,806","643,786"
Chlamydia,2002,American Samoa,60,All races/ethnicities,Both sexes,All age groups,All transmission categories,Data not available,Data not available,null
Chlamydia,2002,Arizona,4,All races/ethnicities,Both sexes,All age groups,All transmission categories,273.5,"14,921","5,456,453"
Chlamydia,2002,Arkansas,5,All races/ethnicities,Both sexes,All age groups,All transmission categories,269.8,"7,312","2,710,079"
Chlamydia,2002,California,6,All races/ethnicities,Both sexes,All age groups,All transmission categories,314.1,"110,288","35,116,033"
Chlamydia,2002,Colorado,8,All races/ethnicities,Both sexes,All age groups,All transmission categories,311.3,"14,028","4,506,542"
Chlamydia,2002,Connecticut,9,All races/ethnicities,Both sexes,All age groups,All transmission categories,283.4,"9,808","3,460,503"
Chlamydia,2002,Delaware,10,All races/ethnicities,Both sexes,All age groups,All transmission categories,328.1,"2,649","807,385"
Chlamydia,2002,District of Columbia,11,All races/ethnicities,Both sexes,All age groups,All transmission categories,578.9,"3,305","570,898"
Chlamydia,2002,Florida,12,All races/ethnicities,Both sexes,All age groups,All transmission categories,251.6,"42,058","16,713,149"
Chlamydia,2002,Georgia,13,All races/ethnicities,Both sexes,All age groups,All transmission categories,397.2,"33,998","8,560,310"
Chlamydia,2002,Guam,66,All races/ethnicities,Both sexes,All age groups,All transmission categories,350.2,550,"157,061"
Chlamydia,2002,Hawaii,15,All races/ethnicities,Both sexes,All age groups,All transmission categories,363.2,"4,521","1,244,898"
Chlamydia,2002,Idaho,16,All races/ethnicities,Both sexes,All age groups,All transmission categories,186.6,"2,503","1,341,131"
Chlamydia,2002,Illinois,17,All races/ethnicities,Both sexes,All age groups,All transmission categories,381.7,"48,101","12,600,620"
Chlamydia,2002,Indiana,18,All races/ethnicities,Both sexes,All age groups,All transmission categories,277.6,"17,100","6,159,068"
Chlamydia,2002,Iowa,19,All races/ethnicities,Both sexes,All age groups,All transmission categories,210.9,"6,195","2,936,760"
Chlamydia,2002,Kansas,20,All races/ethnicities,Both sexes,All age groups,All transmission categories,249.8,"6,784","2,715,884"
Chlamydia,2002,Kentucky,21,All races/ethnicities,Both sexes,All age groups,All transmission categories,213.9,"8,756","4,092,891"
Chlamydia,2002,Louisiana,22,All races/ethnicities,Both sexes,All age groups,All transmission categories,411.4,"18,442","4,482,646"
Chlamydia,2002,Maine,23,All races/ethnicities,Both sexes,All age groups,All transmission categories,139.4,"1,805","1,294,466"
Chlamydia,2002,Maryland,24,All races/ethnicities,Both sexes,All age groups,All transmission categories,309.5,"16,891","5,458,137"
Chlamydia,2002,Massachusetts,25,All races/ethnicities,Both sexes,All age groups,All transmission categories,169.8,"10,914","6,427,803"
Chlamydia,2002,Michigan,26,All races/ethnicities,Both sexes,All age groups,All transmission categories,321.1,"32,272","10,050,446"
Chlamydia,2002,Minnesota,27,All races/ethnicities,Both sexes,All age groups,All transmission categories,201.3,"10,107","5,019,720"
Chlamydia,2002,Mississippi,28,All races/ethnicities,Both sexes,All age groups,All transmission categories,410.9,"11,800","2,871,782"
Chlamydia,2002,Missouri,29,All races/ethnicities,Both sexes,All age groups,All transmission categories,285.2,"16,181","5,672,579"
Chlamydia,2002,Montana,30,All races/ethnicities,Both sexes,All age groups,All transmission categories,272.1,"2,475","909,453"
Chlamydia,2002,Nebraska,31,All races/ethnicities,Both sexes,All age groups,All transmission categories,276.4,"4,779","1,729,180"
Chlamydia,2002,Nevada,32,All races/ethnicities,Both sexes,All age groups,All transmission categories,273.1,"5,936","2,173,491"
Chlamydia,2002,New Hampshire,33,All races/ethnicities,Both sexes,All age groups,All transmission categories,122.1,"1,557","1,275,056"
Chlamydia,2002,New Jersey,34,All races/ethnicities,Both sexes,All age groups,All transmission categories,164.9,"14,164","8,590,303"
Chlamydia,2002,New Mexico,35,All races/ethnicities,Both sexes,All age groups,All transmission categories,399.8,"7,417","1,855,059"
Chlamydia,2002,New York,36,All races/ethnicities,Both sexes,All age groups,All transmission categories,266.9,"51,123","19,157,532"
Chlamydia,2002,North Carolina,37,All races/ethnicities,Both sexes,All age groups,All transmission categories,297.2,"24,726","8,320,146"
Chlamydia,2002,North Dakota,38,All races/ethnicities,Both sexes,All age groups,All transmission categories,198.1,"1,256","634,110"
Chlamydia,2002,Northern Mariana Islands,69,All races/ethnicities,Both sexes,All age groups,All transmission categories,Data not available,Data not available,null
Chlamydia,2002,Ohio,39,All races/ethnicities,Both sexes,All age groups,All transmission categories,333,"38,032","11,421,268"
Chlamydia,2002,Oklahoma,40,All races/ethnicities,Both sexes,All age groups,All transmission categories,309.2,"10,804","3,493,714"
Chlamydia,2002,Oregon,41,All races/ethnicities,Both sexes,All age groups,All transmission categories,199,"7,009","3,521,515"
Chlamydia,2002,Pennsylvania,42,All races/ethnicities,Both sexes,All age groups,All transmission categories,257.7,"31,791","12,335,091"
Chlamydia,2002,Puerto Rico,72,All races/ethnicities,Both sexes,All age groups,All transmission categories,77.7,"2,999","3,858,272"
Chlamydia,2002,Rhode Island,44,All races/ethnicities,Both sexes,All age groups,All transmission categories,264.7,"2,832","1,069,725"
Chlamydia,2002,South Carolina,45,All races/ethnicities,Both sexes,All age groups,All transmission categories,348.5,"14,314","4,107,183"
Chlamydia,2002,South Dakota,46,All races/ethnicities,Both sexes,All age groups,All transmission categories,291,"2,215","761,063"
Chlamydia,2002,Tennessee,47,All races/ethnicities,Both sexes,All age groups,All transmission categories,276.7,"16,042","5,797,289"
Chlamydia,2002,Texas,48,All races/ethnicities,Both sexes,All age groups,All transmission categories,319.2,"69,521","21,779,893"
Chlamydia,2002,U.S. Virgin Islands,78,All races/ethnicities,Both sexes,All age groups,All transmission categories,193.1,209,"108,208"
Chlamydia,2002,Utah,49,All races/ethnicities,Both sexes,All age groups,All transmission categories,152.8,"3,540","2,316,256"
Chlamydia,2002,Vermont,50,All races/ethnicities,Both sexes,All age groups,All transmission categories,154.7,954,"616,592"
Chlamydia,2002,Virginia,51,All races/ethnicities,Both sexes,All age groups,All transmission categories,253.9,"18,518","7,293,542"
Chlamydia,2002,Washington,53,All races/ethnicities,Both sexes,All age groups,All transmission categories,246.1,"14,934","6,068,996"
Chlamydia,2002,West Virginia,54,All races/ethnicities,Both sexes,All age groups,All transmission categories,136.7,"2,464","1,801,873"
Chlamydia,2002,Wisconsin,55,All races/ethnicities,Both sexes,All age groups,All transmission categories,312.4,"17,000","5,441,196"
Chlamydia,2002,Wyoming,56,All races/ethnicities,Both sexes,All age groups,All transmission categories,189.3,944,"498,703"
Chlamydia,2003,Alabama,1,All races/ethnicities,Both sexes,All age groups,All transmission categories,316.5,"14,209","4,489,876"
Chlamydia,2003,Alaska,2,All races/ethnicities,Both sexes,All age groups,All transmission categories,602.2,"3,900","647,671"
Chlamydia,2003,American Samoa,60,All races/ethnicities,Both sexes,All age groups,All transmission categories,Data not available,Data not available,null
Chlamydia,2003,Arizona,4,All races/ethnicities,Both sexes,All age groups,All transmission categories,229.3,"12,819","5,590,820"
Chlamydia,2003,Arkansas,5,All races/ethnicities,Both sexes,All age groups,All transmission categories,288.5,"7,856","2,722,804"
Chlamydia,2003,California,6,All races/ethnicities,Both sexes,All age groups,All transmission categories,333.3,"117,428","35,236,589"
Chlamydia,2003,Colorado,8,All races/ethnicities,Both sexes,All age groups,All transmission categories,286.8,"13,039","4,545,766"
Chlamydia,2003,Connecticut,9,All races/ethnicities,Both sexes,All age groups,All transmission categories,270.8,"9,393","3,468,319"
Chlamydia,2003,Delaware,10,All races/ethnicities,Both sexes,All age groups,All transmission categories,372.2,"3,035","815,525"
Chlamydia,2003,District of Columbia,11,All races/ethnicities,Both sexes,All age groups,All transmission categories,548.2,"3,168","577,844"
Chlamydia,2003,Florida,12,All races/ethnicities,Both sexes,All age groups,All transmission categories,249.7,"42,382","16,974,177"
Chlamydia,2003,Georgia,13,All races/ethnicities,Both sexes,All age groups,All transmission categories,408.9,"35,686","8,727,810"
Chlamydia,2003,Guam,66,All races/ethnicities,Both sexes,All age groups,All transmission categories,351.6,554,"157,579"
Chlamydia,2003,Hawaii,15,All races/ethnicities,Both sexes,All age groups,All transmission categories,444.9,"5,480","1,231,632"
Chlamydia,2003,Idaho,16,All races/ethnicities,Both sexes,All age groups,All transmission categories,173.5,"2,366","1,363,672"
Chlamydia,2003,Illinois,17,All races/ethnicities,Both sexes,All age groups,All transmission categories,383.3,"48,294","12,599,246"
Chlamydia,2003,Indiana,18,All races/ethnicities,Both sexes,All age groups,All transmission categories,276.1,"17,075","6,184,552"
Chlamydia,2003,Iowa,19,All races/ethnicities,Both sexes,All age groups,All transmission categories,221.2,"6,491","2,934,585"
Chlamydia,2003,Kansas,20,All races/ethnicities,Both sexes,All age groups,All transmission categories,266.5,"7,249","2,720,361"
Chlamydia,2003,Kentucky,21,All races/ethnicities,Both sexes,All age groups,All transmission categories,193.8,"7,981","4,117,691"
Chlamydia,2003,Louisiana,22,All races/ethnicities,Both sexes,All age groups,All transmission categories,468.8,"20,970","4,473,198"
Chlamydia,2003,Maine,23,All races/ethnicities,Both sexes,All age groups,All transmission categories,155.9,"2,030","1,302,365"
Chlamydia,2003,Maryland,24,All races/ethnicities,Both sexes,All age groups,All transmission categories,306.5,"16,831","5,491,971"
Chlamydia,2003,Massachusetts,25,All races/ethnicities,Both sexes,All age groups,All transmission categories,175.1,"11,301","6,455,028"
Chlamydia,2003,Michigan,26,All races/ethnicities,Both sexes,All age groups,All transmission categories,323.4,"32,572","10,072,219"
Chlamydia,2003,Minnesota,27,All races/ethnicities,Both sexes,All age groups,All transmission categories,212.1,"10,714","5,050,393"
Chlamydia,2003,Mississippi,28,All races/ethnicities,Both sexes,All age groups,All transmission categories,425.4,"12,193","2,866,386"
Chlamydia,2003,Missouri,29,All races/ethnicities,Both sexes,All age groups,All transmission categories,325,"18,570","5,713,051"
Chlamydia,2003,Montana,30,All races/ethnicities,Both sexes,All age groups,All transmission categories,277.9,"2,547","916,620"
Chlamydia,2003,Nebraska,31,All races/ethnicities,Both sexes,All age groups,All transmission categories,273.4,"4,739","1,733,099"
Chlamydia,2003,Nevada,32,All races/ethnicities,Both sexes,All age groups,All transmission categories,260.7,"5,830","2,236,378"
Chlamydia,2003,New Hampshire,33,All races/ethnicities,Both sexes,All age groups,All transmission categories,126,"1,616","1,282,146"
Chlamydia,2003,New Jersey,34,All races/ethnicities,Both sexes,All age groups,All transmission categories,188.3,"16,169","8,585,567"
Chlamydia,2003,New Mexico,35,All races/ethnicities,Both sexes,All age groups,All transmission categories,400.4,"7,480","1,868,121"
Chlamydia,2003,New York,36,All races/ethnicities,Both sexes,All age groups,All transmission categories,297.5,"57,222","19,235,015"
Chlamydia,2003,North Carolina,37,All races/ethnicities,Both sexes,All age groups,All transmission categories,311.8,"26,187","8,399,815"
Chlamydia,2003,North Dakota,38,All races/ethnicities,Both sexes,All age groups,All transmission categories,262,"1,655","631,680"
Chlamydia,2003,Northern Mariana Islands,69,All races/ethnicities,Both sexes,All age groups,All transmission categories,Data not available,Data not available,null
Chlamydia,2003,Ohio,39,All races/ethnicities,Both sexes,All age groups,All transmission categories,371.4,"42,522","11,450,398"
Chlamydia,2003,Oklahoma,40,All races/ethnicities,Both sexes,All age groups,All transmission categories,315.1,"11,013","3,495,502"
Chlamydia,2003,Oregon,41,All races/ethnicities,Both sexes,All age groups,All transmission categories,216.5,"7,688","3,551,290"
Chlamydia,2003,Pennsylvania,42,All races/ethnicities,Both sexes,All age groups,All transmission categories,301.7,"37,291","12,360,988"
Chlamydia,2003,Puerto Rico,72,All races/ethnicities,Both sexes,All age groups,All transmission categories,70.8,"2,746","3,876,637"
Chlamydia,2003,Rhode Island,44,All races/ethnicities,Both sexes,All age groups,All transmission categories,279.7,"3,000","1,072,453"
Chlamydia,2003,South Carolina,45,All races/ethnicities,Both sexes,All age groups,All transmission categories,353.1,"14,623","4,141,080"
Chlamydia,2003,South Dakota,46,All races/ethnicities,Both sexes,All age groups,All transmission categories,340.5,"2,608","765,980"
Chlamydia,2003,Tennessee,47,All races/ethnicities,Both sexes,All age groups,All transmission categories,348,"20,380","5,856,712"
Chlamydia,2003,Texas,48,All races/ethnicities,Both sexes,All age groups,All transmission categories,313.9,"69,200","22,048,452"
Chlamydia,2003,U.S. Virgin Islands,78,All races/ethnicities,Both sexes,All age groups,All transmission categories,379.3,410,"108,085"
Chlamydia,2003,Utah,49,All races/ethnicities,Both sexes,All age groups,All transmission categories,163.7,"3,893","2,378,255"
Chlamydia,2003,Vermont,50,All races/ethnicities,Both sexes,All age groups,All transmission categories,171.9,"1,060","616,700"
Chlamydia,2003,Virginia,51,All races/ethnicities,Both sexes,All age groups,All transmission categories,264.4,"19,439","7,352,164"
Chlamydia,2003,Washington,53,All races/ethnicities,Both sexes,All age groups,All transmission categories,275,"16,797","6,108,738"
Chlamydia,2003,West Virginia,54,All races/ethnicities,Both sexes,All age groups,All transmission categories,143.4,"2,585","1,802,916"
Chlamydia,2003,Wisconsin,55,All races/ethnicities,Both sexes,All age groups,All transmission categories,327.4,"17,942","5,479,542"
Chlamydia,2003,Wyoming,56,All races/ethnicities,Both sexes,All age groups,All transmission categories,192.4,960,"498,865"
Chlamydia,2004,Alabama,1,All races/ethnicities,Both sexes,All age groups,All transmission categories,293.9,"13,314","4,530,182"
Chlamydia,2004,Alaska,2,All races/ethnicities,Both sexes,All age groups,All transmission categories,603.3,"3,954","655,435"
Chlamydia,2004,American Samoa,60,All races/ethnicities,Both sexes,All age groups,All transmission categories,Data not available,Data not available,null
Chlamydia,2004,Arizona,4,All races/ethnicities,Both sexes,All age groups,All transmission categories,292.2,"16,786","5,743,834"
Chlamydia,2004,Arkansas,5,All races/ethnicities,Both sexes,All age groups,All transmission categories,285.7,"7,864","2,752,629"
Chlamydia,2004,California,6,All races/ethnicities,Both sexes,All age groups,All transmission categories,340.4,"122,197","35,893,799"
Chlamydia,2004,Colorado,8,All races/ethnicities,Both sexes,All age groups,All transmission categories,307.5,"14,151","4,601,403"
Chlamydia,2004,Connecticut,9,All races/ethnicities,Both sexes,All age groups,All transmission categories,271.1,"9,552","3,522,810"
